NomEntreprise,,,,,,,,total_net,,,,
,client_id,num_facture,date_facture,,,unit,test,30,taxe,total,checkSum,check run 
,25,47,2/1/2024 00:00:00+00,nom_unit,description,nombre_unit,prix_unit,90,1.5,33,4012015,31715
,25,48,2/1/2024 00:00:00+00,XOXO Bracelet,Hand-stitched leather cuff bracelet,2,15,-60,3,99,4162015,5436035
,25,49,2/2/2024 00:00:00+00,Blossom Earrings,Sterling silver earrings,3,30,-300,6,-66,4162015,54356644
,25,50,2/3/2024 00:00:00+00,Office Supplies,"Printer paper, pens, stapler, etc.",1,60,-200,30,-330,7302015,1293267
,25,51,2/3/2024 00:00:00+00,Material Purchase,"Pearls, Stainless Steal, pendants, etc.",1,300,72,20,-220,8062015,73115
,25,52,2/5/2024 00:00:00+00,Marketing Services,Social media advertising campaign,1,200,20,1.8,79.2,3162017,1
,25,53,2/5/2024 00:00:00+00,Serenity Necklace,Gold-plated chain necklace,4,18,75,2,22,12062018,101718
,25,54,2/6/2024 00:00:00+00,Ribbon Earrings,Ribbon earrings with pearls,1,20,40,2.5,82.5,12062018,937570
,25,55,2/8/2024 00:00:00+00,Charm Necklace,Handcrafted stainless necklace,3,25,60,2,44,12062018,694560
,25,56,2/9/2024 00:00:00+00,Ribbon Earrings,Ribbon earrings with pearls,2,20,80,6,66,7152010,840
,25,57,2/9/2024 00:00:00+00,Blair Necklace,Hand-carved wooden pendant necklace,1,60,125,4,88,8052010,864
,25,58,2/10/2024 00:00:00+00,Stellar Necklace,Pendant necklace,2,40,90,2.5,137.5,8122010,868
,25,59,2/10/2024 00:00:00+00,Charm Necklace,Handcrafted stainless necklace,5,25,80,1.5,99,11182010,936
,25,60,2/10/2024 00:00:00+00,XOXO Bracelet,Hand-stitched leather cuff bracelet,6,15,150,2,88,3032011,970
,25,61,2/10/2024 00:00:00+00,Ribbon Earrings,Ribbon earrings with pearls,4,20,60,3,165,4072011,982
,25,62,2/10/2024 00:00:00+00,Blossom Earrings,Sterling silver earrings,5,30,108,2,66,4072011,982A
,25,63,2/10/2024 00:00:00+00,blue daisy Bracelet,Custom-designed beaded bracelet,3,20,80,1.8,118.8,3242011,981
,25,64,2/10/2024 00:00:00+00,Serenity Necklace,Gold-plated chain necklace,6,18,100,2,88,5122011,1000
,25,65,2/12/2024 00:00:00+00,Van Cleef Earrings,Stainless Steel earrings,4,20,75,2.5,110,5122011,1001
,25,66,2/12/2024 00:00:00+00,Charm Necklace,Handcrafted stainless necklace,4,25,60,1.5,82.5,5192011,1004
,25,67,2/12/2024 00:00:00+00,XOXO Bracelet,Hand-stitched leather cuff bracelet,5,15,180,2,66,5262011,1021
,25,68,2/12/2024 00:00:00+00,Ribbon Earrings,Ribbon earrings with pearls,3,20,90,3,198,5262011,1025
,25,69,2/12/2024 00:00:00+00,Blossom Earrings,Sterling silver earrings,6,30,,1.8,99,6182015,7001026499
,,,,Serenity Necklace,Gold-plated chain necklace,5,18,,,,,
