NomEntreprise,,,,,,,,total,,,,
,client_id,num_facture,date_facture,,,unit,test,60,taxe,total_net,checkSum,check run 
,25,365,12/1/2024,nom_unit,description,nombre_unit,prix_unit,80,2,54,4012015,31715
,25,366,12/2/2024,blue daisy Bracelet,Custom-designed beaded bracelet,3,20,40,2,72,4162015,5436035
,25,367,12/2/2024,Ribbon Earrings,Ribbon earrings with pearls,4,20,125,4,36,4162015,54356644
,25,368,12/3/2024,Stellar Necklace,Pendant necklace,1,40,30,2.5,112.5,7302015,1293267
,25,369,12/3/2024,Charm Necklace,Handcrafted stainless necklace,5,25,-200,1.5,27,8062015,73115
,25,370,12/4/2024,XOXO Bracelet,Hand-stitched leather cuff bracelet,2,15,90,0,-200,3162017,1
,25,371,12/5/2024,Marketing Services,Social media advertising campaign,1,200,40,3,81,12062018,101718
,25,372,12/5/2024,Lilly Bracelet,Crystal bracelet,3,30,90,2,36,12062018,937570
,25,373,12/6/2024,Ribbon Earrings,Ribbon earrings with pearls,2,20,20,3,81,12062018,694560
,25,374,12/7/2024,Blossom Earrings,Sterling silver earrings,3,30,80,2,18,7152010,840
,25,375,12/8/2024,blue daisy Bracelet,Custom-designed beaded bracelet,1,20,75,4,72,8052010,864
,25,376,12/9/2024,Stellar Necklace,Pendant necklace,2,40,15,2.5,67.5,8122010,868
,25,377,12/10/2024,Charm Necklace,Handcrafted stainless necklace,3,25,60,1.5,13.5,11182010,936
,25,378,12/10/2024,XOXO Bracelet,Hand-stitched leather cuff bracelet,1,15,90,2,54,3032011,970
,25,379,12/11/2024,Ribbon Earrings,Ribbon earrings with pearls,3,20,40,1.8,81,4072011,982
,25,380,12/12/2024,Serenity Necklace,Gold-plated chain necklace,5,18,20,2,36,4072011,982A
,25,381,12/12/2024,Van Cleef Earrings,Stainless Steel earrings,2,20,100,2,18,3242011,981
,25,382,12/13/2024,Ribbon Earrings,Ribbon earrings with pearls,1,20,60,2.5,90,5122011,1000
,25,383,12/14/2024,Charm Necklace,Handcrafted stainless necklace,4,25,40,3,54,5122011,1001
,25,384,12/15/2024,Lilly Bracelet,Crystal bracelet,2,30,90,2,36,5192011,1004
,25,385,12/15/2024,Ribbon Earrings,Ribbon earrings with pearls,2,20,20,3,81,5262011,1021
,25,386,12/16/2024,Blossom Earrings,Sterling silver earrings,3,30,80,2,18,5262011,1025
,25,387,12/17/2024,blue daisy Bracelet,Custom-designed beaded bracelet,1,20,75,4,72,6182015,7001026499
,25,388,12/18/2024,Stellar Necklace,Pendant necklace,2,40,15,2.5,67.5,4012015,31715
,25,389,12/19/2024,Charm Necklace,Handcrafted stainless necklace,3,25,60,1.5,13.5,4162015,5436035
,25,390,12/19/2024,XOXO Bracelet,Hand-stitched leather cuff bracelet,1,15,90,2,54,4162015,54356644
,25,391,12/20/2024,Ribbon Earrings,Ribbon earrings with pearls,3,20,40,1.8,81,7302015,1293267
,25,392,12/21/2024,Serenity Necklace,Gold-plated chain necklace,5,18,20,2,36,8062015,73115
,25,393,12/21/2024,Van Cleef Earrings,Stainless Steel earrings,2,20,100,2,18,3162017,1
,25,394,12/22/2024,Ribbon Earrings,Ribbon earrings with pearls,1,20,-200,2.5,90,12062018,101718
,25,395,12/23/2024,Charm Necklace,Handcrafted stainless necklace,4,25,40,0,-200,12062018,937570
,25,396,12/23/2024,Material Purchase,"Pearls, Stainless Steel, pendants, etc.",1,200,90,2,36,12062018,694560
,25,397,12/24/2024,Ribbon Earrings,Ribbon earrings with pearls,2,20,20,3,81,7152010,840
,25,398,12/25/2024,Blossom Earrings,Sterling silver earrings,3,30,80,2,18,8052010,864
,25,399,12/26/2024,blue daisy Bracelet,Custom-designed beaded bracelet,1,20,75,4,72,8122010,868
,25,400,12/27/2024,Stellar Necklace,Pendant necklace,2,40,-400,2.5,67.5,11182010,936
,25,401,12/28/2024,Charm Necklace,Handcrafted stainless necklace,3,25,60,0,-400,3032011,970
,25,402,12/28/2024,Material Purchase,"Pearls, Stainless Steel, pendants, etc.",1,400,90,2,54,4072011,982
,25,403,12/29/2024,Ribbon Earrings,Ribbon earrings with pearls,3,20,40,1.8,81,4072011,982A
,25,404,12/30/2024,Serenity Necklace,Gold-plated chain necklace,5,18,20,2,36,3242011,981
,25,405,12/30/2024,Van Cleef Earrings,Stainless Steel earrings,2,20,100,2,18,5122011,1000
,25,406,12/31/2024,Ribbon Earrings,Ribbon earrings with pearls,1,20,60,2.5,90,5122011,1001
,25,407,12/31/2024,Charm Necklace,Handcrafted stainless necklace,4,25,40,3,54,5192011,1004
,25,408,12/31/2024,Lilly Bracelet,Crystal bracelet,2,30,-200,2,36,5262011,1021
,25,409,12/31/2024,Ribbon Earrings,Ribbon earrings with pearls,2,20,20,0,-200,5262011,1025
