NomEntreprise,,,,,,,,total,,,,
,client_id,num_facture,date_facture,,,unit,test,60,taxe,total_net,checkSum,check run 
,25,331,11/1/2024,nom_unit,description,nombre_unit,prix_unit,80,2,54,4012015,31715
,25,332,11/2/2024,blue daisy Bracelet,Custom-designed beaded bracelet,3,20,40,2,72,4162015,5436035
,25,333,11/2/2024,Ribbon Earrings,Ribbon earrings with pearls,4,20,125,4,36,4162015,54356644
,25,334,11/3/2024,Stellar Necklace,Pendant necklace,1,40,30,2.5,112.5,7302015,1293267
,25,335,11/3/2024,Charm Necklace,Handcrafted stainless necklace,5,25,72,1.5,27,8062015,73115
,25,336,11/4/2024,XOXO Bracelet,Hand-stitched leather cuff bracelet,2,15,90,1.8,64.8,3162017,1
,25,337,11/5/2024,Serenity Necklace,Gold-plated chain necklace,4,18,40,3,81,12062018,101718
,25,338,11/5/2024,Lilly Bracelet,Crystal bracelet,3,30,90,2,36,12062018,937570
,25,339,11/6/2024,Ribbon Earrings,Ribbon earrings with pearls,2,20,20,3,81,12062018,694560
,25,340,11/7/2024,Blossom Earrings,Sterling silver earrings,3,30,80,2,18,7152010,840
,25,341,11/8/2024,blue daisy Bracelet,Custom-designed beaded bracelet,1,20,75,4,72,8052010,864
,25,342,11/9/2024,Stellar Necklace,Pendant necklace,2,40,15,2.5,67.5,8122010,868
,25,343,11/10/2024,Charm Necklace,Handcrafted stainless necklace,3,25,-200,1.5,13.5,11182010,936
,25,344,11/10/2024,XOXO Bracelet,Hand-stitched leather cuff bracelet,1,15,90,0,-200,3032011,970
,25,345,11/11/2024,Marketing Services,Social media advertising campaign,1,200,40,1.8,81,4072011,982
,25,346,11/12/2024,Serenity Necklace,Gold-plated chain necklace,5,18,20,2,36,4072011,982A
,25,347,11/12/2024,Van Cleef Earrings,Stainless Steel earrings,2,20,100,2,18,3242011,981
,25,348,11/13/2024,Ribbon Earrings,Ribbon earrings with pearls,1,20,60,2.5,90,5122011,1000
,25,349,11/14/2024,Charm Necklace,Handcrafted stainless necklace,4,25,40,3,54,5122011,1001
,25,350,11/15/2024,Lilly Bracelet,Crystal bracelet,2,30,90,2,36,5192011,1004
,25,351,11/15/2024,Ribbon Earrings,Ribbon earrings with pearls,2,20,20,3,81,5262011,1021
,25,352,11/16/2024,Blossom Earrings,Sterling silver earrings,3,30,80,2,18,5262011,1025
,25,353,11/17/2024,blue daisy Bracelet,Custom-designed beaded bracelet,1,20,75,4,72,6182015,7001026499
,25,354,11/18/2024,Stellar Necklace,Pendant necklace,2,40,15,2.5,67.5,4012015,31715
,25,355,11/19/2024,Charm Necklace,Handcrafted stainless necklace,3,25,60,1.5,13.5,4162015,5436035
,25,356,11/19/2024,XOXO Bracelet,Hand-stitched leather cuff bracelet,1,15,90,2,54,4162015,54356644
,25,357,11/20/2024,Ribbon Earrings,Ribbon earrings with pearls,3,20,-400,1.8,81,7302015,1293267
,25,358,11/21/2024,Serenity Necklace,Gold-plated chain necklace,5,18,20,0,-400,8062015,73115
,25,359,11/21/2024,Marketing Services,Social media advertising campaign,1,400,100,2,18,3162017,1
,25,360,11/22/2024,Ribbon Earrings,Ribbon earrings with pearls,1,20,60,2.5,90,12062018,101718
,25,361,11/23/2024,Charm Necklace,Handcrafted stainless necklace,4,25,40,3,54,7302015,1293267
,25,362,11/23/2024,Lilly Bracelet,Crystal bracelet,2,30,90,2,36,8062015,73115
,25,363,11/24/2024,Ribbon Earrings,Ribbon earrings with pearls,2,20,20,3,81,3162017,1
,25,364,11/25/2024,Blossom Earrings,Sterling silver earrings,3,30,,2,18,12062018,101718
,,,,blue daisy Bracelet,Custom-designed beaded bracelet,1,20,,,,,
